cli_document,frequencia,monetario,ultima_compra,primeira_compra,tipo_cliente,uf,recencia,recomprou,tempo_ate_segunda_compra
CLI_003C25FD,1,209.0,2024-03-03,2024-03-03,NOVO,SP,303,0,
CLI_003C3C7E,2,236.45,2024-03-25,2023-10-08,NOVO,SP,281,1,169.0
CLI_003D5863,1,147.21,2023-10-27,2023-10-27,NOVO,PE,431,0,
CLI_003E0F5C,2,392.75,2024-07-12,2024-02-21,ANTIGO,MG,172,1,142.0
CLI_003EEE01,1,69.93,2024-10-18,2024-10-18,NOVO,RS,74,0,
CLI_0040204E,2,832.5799999999999,2024-11-19,2024-01-09,NOVO,PB,42,1,315.0
CLI_004134AE,1,94.93,2024-06-14,2024-06-14,NOVO,SP,200,0,
CLI_00426E21,2,253.46,2024-02-03,2023-11-08,NOVO,MG,332,1,87.0
CLI_0042F695,1,317.36,2023-10-13,2023-10-13,NOVO,RJ,445,0,
CLI_0043DE98,1,155.69,2024-12-03,2024-12-03,NOVO,RJ,28,0,
CLI_0044C95E,1,139.86,2023-08-21,2023-08-21,ANTIGO,SP,498,0,
CLI_0045D531,1,150.23,2024-10-17,2024-10-17,NOVO,SC,75,0,
CLI_00468765,5,2170.51,2024-09-26,2023-08-13,ANTIGO,MG,96,1,164.0
CLI_004785BC,1,231.04,2024-09-30,2024-09-30,ANTIGO,SP,92,0,
CLI_00493C2E,2,455.90999999999997,2024-11-10,2024-05-31,NOVO,MG,51,1,163.0
CLI_00506229,1,169.84,2023-07-21,2023-07-21,NOVO,SP,529,0,
CLI_00516BFE,1,489.53,2023-11-25,2023-11-25,ANTIGO,SP,402,0,
CLI_0053B83D,7,3876.36,2024-10-23,2023-07-31,ANTIGO,MG,69,1,75.0
CLI_0055819D,1,170.88,2023-11-30,2023-11-30,ANTIGO,SP,397,0,
CLI_0056E6BA,1,209.79,2024-08-23,2024-08-23,ANTIGO,RJ,130,0,
CLI_005838E7,1,153.95,2024-05-26,2024-05-26,NOVO,SP,219,0,
CLI_0058447D,1,439.29,2024-01-17,2024-01-17,ANTIGO,RJ,349,0,
CLI_005A8183,1,338.9,2024-06-07,2024-06-07,ANTIGO,MG,207,0,
CLI_005D0491,1,283.92,2024-05-04,2024-05-04,NOVO,RJ,241,0,
CLI_005D12D9,1,269.0,2024-09-11,2024-09-11,NOVO,RJ,111,0,
CLI_006096D3,1,119.93,2023-11-26,2023-11-26,NOVO,MG,401,0,
CLI_00635EFD,1,279.0,2024-09-07,2024-09-07,NOVO,RJ,115,0,
CLI_0063DE74,6,848.03,2024-12-21,2023-07-17,NOVO,SP,10,1,35.0
CLI_0064F2D2,2,346.99,2024-10-30,2024-03-03,ANTIGO,PR,62,1,241.0
CLI_00652970,1,99.81,2023-08-12,2023-08-12,NOVO,SP,507,0,
CLI_0066AFEA,1,172.82,2024-05-22,2024-05-22,NOVO,RJ,223,0,
CLI_00671316,1,170.27,2024-04-24,2024-04-24,NOVO,SP,251,0,
CLI_006B05B7,1,273.06,2024-03-07,2024-03-07,NOVO,MG,299,0,
CLI_006BB133,3,442.52,2024-11-14,2024-08-31,NOVO,RS,47,1,68.0
CLI_006C2B82,1,81.67,2024-11-08,2024-11-08,NOVO,SP,53,0,
CLI_006E38A8,1,66.82,2024-10-06,2024-10-06,NOVO,SP,86,0,
CLI_007117B0,7,1259.75,2024-12-16,2023-11-15,ANTIGO,RJ,15,1,10.0
CLI_00714428,2,383.76,2024-10-11,2024-05-06,ANTIGO,SP,81,1,158.0
CLI_00741E51,3,889.27,2024-11-27,2023-10-31,ANTIGO,SP,34,1,16.0
CLI_0075EBBD,1,188.37,2024-05-06,2024-05-06,NOVO,BA,239,0,
CLI_0076FA01,1,133.86,2024-12-25,2024-12-25,NOVO,SP,6,0,
CLI_00772147,1,99.1,2023-09-04,2023-09-04,NOVO,PR,484,0,
CLI_00776693,2,399.04999999999995,2024-10-21,2023-07-29,ANTIGO,SP,71,1,450.0
CLI_007F9CDD,1,146.86,2023-11-07,2023-11-07,ANTIGO,SP,420,0,
CLI_00808EF2,1,152.02,2023-11-01,2023-11-01,ANTIGO,SP,426,0,
CLI_00821C08,1,84.93,2024-01-11,2024-01-11,NOVO,RJ,355,0,
CLI_0083B9D7,2,618.21,2024-07-04,2023-11-24,ANTIGO,SP,180,1,223.0
CLI_0085DA69,1,209.79,2024-08-23,2024-08-23,NOVO,SP,130,0,
CLI_008AB6CE,1,250.55,2024-11-30,2024-11-30,NOVO,SP,31,0,
CLI_008B698F,1,143.61,2024-03-21,2024-03-21,NOVO,SP,285,0,
CLI_008CC479,1,350.39,2023-11-25,2023-11-25,ANTIGO,SC,402,0,
CLI_008E6B44,1,343.7,2024-03-06,2024-03-06,NOVO,RJ,300,0,
CLI_008EDB9E,1,143.01,2024-01-03,2024-01-03,NOVO,SP,363,0,
CLI_0090488A,2,843.15,2023-09-15,2023-07-25,NOVO,RJ,473,1,52.0
CLI_0092CEB8,3,1566.79,2024-08-18,2023-11-24,ANTIGO,SP,135,1,268.0
CLI_00940FC4,1,105.03,2024-07-29,2024-07-29,NOVO,SP,155,0,
CLI_009597D1,3,639.24,2024-08-06,2023-11-27,NOVO,SE,147,1,157.0
CLI_00966FB5,2,470.65,2024-07-23,2024-05-30,ANTIGO,SP,161,1,54.0
CLI_0098DA1C,2,361.14,2024-06-06,2023-10-19,ANTIGO,SP,208,1,231.0
CLI_0099C74D,1,276.9,2024-07-18,2024-07-18,NOVO,MG,166,0,
CLI_009A2157,2,201.43,2024-03-15,2024-02-19,NOVO,SP,291,1,25.0
CLI_009D0B7D,1,416.4,2024-01-15,2024-01-15,ANTIGO,GO,351,0,
CLI_009DE13D,1,387.31,2023-11-24,2023-11-24,NOVO,PR,403,0,
CLI_009EF67E,1,64.92,2024-11-14,2024-11-14,NOVO,RS,47,0,
CLI_00A0BAE3,1,302.11,2023-12-06,2023-12-06,NOVO,SP,391,0,
CLI_00A2C035,1,149.76,2023-08-21,2023-08-21,ANTIGO,DF,498,0,
CLI_00A3A472,1,148.01,2023-10-10,2023-10-10,NOVO,SP,448,0,
CLI_00A41AAA,1,140.6,2024-03-23,2024-03-23,NOVO,MG,283,0,
CLI_00A66828,1,159.54,2024-05-08,2024-05-08,NOVO,MG,237,0,
CLI_00A6AF35,1,356.76,2023-11-17,2023-11-17,NOVO,SP,410,0,
CLI_00A6CEE7,1,139.3,2024-11-29,2024-11-29,ANTIGO,RS,32,0,
CLI_00A7C1F2,1,170.54,2023-12-15,2023-12-15,NOVO,SC,382,0,
CLI_00A82B31,1,72.86,2024-04-16,2024-04-16,NOVO,MT,259,0,
CLI_00AA53AA,1,110.44,2024-12-29,2024-12-29,NOVO,DF,2,0,
CLI_00AD6BB2,1,209.79,2023-08-21,2023-08-21,ANTIGO,BA,498,0,
CLI_00AD7101,1,141.96,2024-10-06,2024-10-06,NOVO,SP,86,0,
CLI_00AE6343,1,71.52,2023-07-24,2023-07-24,NOVO,SP,526,0,
CLI_00B0F4A9,1,241.57,2023-08-04,2023-08-04,NOVO,SP,515,0,
CLI_00B1DE0A,1,86.91,2024-11-22,2024-11-22,NOVO,SC,39,0,
CLI_00B21192,1,189.16,2024-09-27,2024-09-27,NOVO,SP,95,0,
CLI_00B28365,1,227.48,2024-04-05,2024-04-05,NOVO,AC,270,0,
CLI_00B34A95,1,93.62,2023-11-08,2023-11-08,NOVO,SP,419,0,
CLI_00B89830,1,84.6,2023-08-01,2023-08-01,NOVO,SP,518,0,
CLI_00B9B56E,1,231.86,2023-12-13,2023-12-13,NOVO,MG,384,0,
CLI_00BA2596,1,122.3,2024-10-13,2024-10-13,ANTIGO,RJ,79,0,
CLI_00BD1193,1,201.53,2023-07-04,2023-07-04,NOVO,SP,546,0,
CLI_00BE43EF,1,98.97,2023-07-13,2023-07-13,NOVO,MG,537,0,
CLI_00BE6A14,1,239.8,2024-11-12,2024-11-12,NOVO,MG,49,0,
CLI_00BEDCD2,1,245.7,2024-11-28,2024-11-28,NOVO,SP,33,0,
CLI_00C26F89,1,186.75,2024-09-11,2024-09-11,NOVO,MA,111,0,
CLI_00C2DCD4,1,197.97,2023-12-07,2023-12-07,NOVO,MT,390,0,
CLI_00C44434,1,242.91,2023-12-27,2023-12-27,NOVO,RJ,370,0,
CLI_00C4AD36,2,216.82999999999998,2024-11-26,2023-11-24,NOVO,SP,35,1,368.0
CLI_00C6A8FD,1,217.8,2023-11-18,2023-11-18,ANTIGO,SP,409,0,
CLI_00C6C83F,1,153.54,2024-06-27,2024-06-27,NOVO,ES,187,0,
CLI_00C78A19,1,192.64,2024-11-29,2024-11-29,NOVO,PR,32,0,
CLI_00C7EB79,1,160.21,2024-09-11,2024-09-11,ANTIGO,SP,111,0,
CLI_00CBA948,1,315.87,2024-12-16,2024-12-16,NOVO,MG,15,0,
CLI_00CCDF52,1,283.92,2023-12-16,2023-12-16,NOVO,SP,381,0,
CLI_00CCE1B1,1,234.58,2024-09-11,2024-09-11,NOVO,RS,111,0,
CLI_00D12CD6,3,1382.73,2024-12-15,2024-03-15,ANTIGO,DF,16,1,89.0
CLI_00D15CC3,1,507.45,2023-10-03,2023-10-03,NOVO,SP,455,0,
CLI_00D2A0D9,1,86.78,2024-11-27,2024-11-27,NOVO,MA,34,0,
CLI_00D2EDA8,1,223.96,2024-11-28,2024-11-28,NOVO,RJ,33,0,
CLI_00D4502E,1,252.89,2024-04-03,2024-04-03,NOVO,RJ,272,0,
CLI_00D4E155,1,236.7,2024-08-28,2024-08-28,NOVO,SP,125,0,
CLI_00D5FC49,1,136.35,2023-07-17,2023-07-17,NOVO,SP,533,0,
CLI_00D74F9E,1,278.0,2023-11-07,2023-11-07,NOVO,SP,420,0,
CLI_00D7E59B,1,138.45,2024-11-19,2024-11-19,ANTIGO,MG,42,0,
CLI_00DA3E88,1,179.82,2024-03-10,2024-03-10,NOVO,SP,296,0,
CLI_00DADA60,1,139.86,2023-08-21,2023-08-21,NOVO,SP,498,0,
CLI_00DC035D,1,118.7,2024-02-26,2024-02-26,NOVO,CE,309,0,
CLI_00DEC2BC,1,351.66,2024-04-18,2024-04-18,NOVO,DF,257,0,
CLI_00DEFBFB,1,259.0,2024-02-16,2024-02-16,NOVO,RJ,319,0,
CLI_00E1E012,2,349.04,2024-04-08,2023-08-21,NOVO,SP,267,1,231.0
CLI_00E50211,6,1488.41,2024-11-25,2024-05-17,ANTIGO,MG,36,1,41.0
CLI_00E55849,1,93.94,2024-01-23,2024-01-23,NOVO,MG,343,0,
CLI_00E85328,1,72.76,2024-06-18,2024-06-18,NOVO,BA,196,0,
CLI_00E8CF7C,1,274.9,2024-11-05,2024-11-05,NOVO,MG,56,0,
CLI_00EA7754,6,1792.44,2024-11-29,2023-11-20,ANTIGO,RJ,32,1,4.0
CLI_00EB18F9,1,99.92,2024-07-13,2024-07-13,NOVO,RJ,171,0,
CLI_00ED9604,2,407.82,2024-02-13,2023-10-19,ANTIGO,SP,322,1,117.0
CLI_00EE8E51,1,733.99,2023-11-24,2023-11-24,NOVO,SP,403,0,
CLI_00EEE69B,1,881.19,2024-11-13,2024-11-13,ANTIGO,SP,48,0,
CLI_00F22884,1,118.9,2023-07-24,2023-07-24,ANTIGO,SP,526,0,
CLI_00F26315,1,139.86,2023-08-21,2023-08-21,NOVO,MT,498,0,
CLI_00F6B106,1,69.93,2023-08-21,2023-08-21,NOVO,MG,498,0,
CLI_00F9EC1B,1,84.55,2024-11-13,2024-11-13,ANTIGO,RS,48,0,
CLI_00FC485B,1,298.82,2024-10-07,2024-10-07,NOVO,RS,85,0,
CLI_00FCA3CE,3,891.0,2024-11-16,2023-09-22,ANTIGO,SC,45,1,216.0
CLI_00FCBD33,1,119.18,2023-07-06,2023-07-06,NOVO,RJ,544,0,
CLI_00FFD2A6,5,1224.17,2024-09-15,2023-11-14,NOVO,SP,107,1,47.0
CLI_01010B6E,1,86.72,2024-11-29,2024-11-29,NOVO,RJ,32,0,
CLI_0102228F,1,130.05,2023-08-15,2023-08-15,NOVO,MG,504,0,
CLI_0102B8BF,1,223.12,2023-07-23,2023-07-23,NOVO,GO,527,0,
CLI_010319E4,1,1381.11,2024-06-12,2024-06-12,NOVO,DF,202,0,
CLI_01038818,1,119.79,2023-10-28,2023-10-28,ANTIGO,SP,430,0,
CLI_0103E8E5,1,683.79,2024-07-27,2024-07-27,ANTIGO,PR,157,0,
CLI_0105BE25,1,109.58,2024-06-25,2024-06-25,NOVO,RJ,189,0,
CLI_010680D4,1,174.02,2024-11-30,2024-11-30,NOVO,RJ,31,0,
CLI_01075419,1,133.23,2023-09-18,2023-09-18,NOVO,MG,470,0,
CLI_010958C1,1,135.06,2023-09-24,2023-09-24,ANTIGO,SP,464,0,
CLI_0109F43F,1,89.1,2023-12-21,2023-12-21,NOVO,RJ,376,0,
CLI_010B11B1,1,210.39,2023-09-27,2023-09-27,ANTIGO,PR,461,0,
CLI_010BDBDE,1,178.2,2024-09-07,2024-09-07,NOVO,RJ,115,0,
CLI_010CF38F,2,476.09000000000003,2024-10-11,2024-03-10,NOVO,SP,81,1,215.0
CLI_010D03CA,1,79.11,2024-11-25,2024-11-25,NOVO,MG,36,0,
CLI_010D22C6,2,295.6,2024-12-12,2024-10-22,NOVO,SP,19,1,51.0
CLI_010D5F74,1,66.43,2023-11-22,2023-11-22,NOVO,SP,405,0,
CLI_010ECDE1,1,183.82,2024-09-30,2024-09-30,NOVO,SP,92,0,
CLI_0111BCFE,1,301.66,2023-07-17,2023-07-17,NOVO,RJ,533,0,
CLI_0111EA87,1,128.11,2024-03-14,2024-03-14,NOVO,SP,292,0,
CLI_0115F6F6,1,416.11,2023-07-14,2023-07-14,NOVO,RJ,536,0,
CLI_0116E15E,1,107.74,2023-07-24,2023-07-24,NOVO,SP,526,0,
CLI_0117BDE7,1,455.92,2024-03-15,2024-03-15,NOVO,PR,291,0,
CLI_011A0ECA,1,119.88,2024-03-13,2024-03-13,NOVO,RJ,293,0,
CLI_011C4013,1,154.28,2024-10-09,2024-10-09,ANTIGO,SP,83,0,
CLI_011C54AD,1,197.49,2023-11-11,2023-11-11,ANTIGO,RJ,416,0,
CLI_011CA9AE,1,129.82,2024-04-20,2024-04-20,NOVO,DF,255,0,
CLI_011D07EC,4,430.74,2024-09-15,2023-07-03,ANTIGO,SP,107,1,34.0
CLI_011DB7D3,1,131.75,2024-01-29,2024-01-29,NOVO,DF,337,0,
CLI_011E7CB7,7,1148.4,2024-11-19,2023-08-21,ANTIGO,DF,42,1,94.0
CLI_011F05B4,1,217.1,2024-02-27,2024-02-27,NOVO,RS,308,0,
CLI_011FA6D9,1,110.47,2024-11-16,2024-11-16,NOVO,RS,45,0,
CLI_0122086B,1,301.8,2023-08-30,2023-08-30,ANTIGO,RJ,489,0,
CLI_0122BD8D,1,267.72,2023-11-06,2023-11-06,ANTIGO,MT,421,0,
CLI_01237EE4,1,154.48,2023-10-10,2023-10-10,ANTIGO,SC,448,0,
CLI_01282001,1,366.29,2023-08-17,2023-08-17,NOVO,BA,502,0,
CLI_012A18F1,1,126.03,2024-11-26,2024-11-26,ANTIGO,SP,35,0,
CLI_012AAD82,1,69.93,2023-11-23,2023-11-23,ANTIGO,RN,404,0,
CLI_012BA3C6,1,394.7,2023-07-18,2023-07-18,NOVO,MG,532,0,
CLI_012C2BA6,1,129.77,2023-10-06,2023-10-06,NOVO,PR,452,0,
CLI_012C734D,1,148.6,2024-01-16,2024-01-16,NOVO,SP,350,0,
CLI_012C92DC,3,425.24,2024-10-20,2023-11-26,NOVO,MG,72,1,160.0
CLI_012D30C7,2,648.78,2024-11-14,2023-08-06,ANTIGO,MG,47,1,466.0
CLI_012F9F5D,1,179.25,2023-07-06,2023-07-06,NOVO,SP,544,0,
CLI_013041ED,1,212.11,2024-11-29,2024-11-29,ANTIGO,SP,32,0,
CLI_013054FD,1,133.32,2024-11-04,2024-11-04,ANTIGO,MG,57,0,
CLI_01307F3D,1,194.12,2023-09-15,2023-09-15,NOVO,RO,473,0,
CLI_0133F047,1,267.74,2024-02-14,2024-02-14,NOVO,SP,321,0,
CLI_01347488,1,437.11,2024-11-20,2024-11-20,NOVO,DF,41,0,
CLI_01355A51,1,150.03,2024-08-15,2024-08-15,ANTIGO,MG,138,0,
CLI_0135BD63,1,234.44,2024-11-19,2024-11-19,NOVO,RJ,42,0,
CLI_0136BD05,1,171.47,2024-03-27,2024-03-27,NOVO,DF,279,0,
CLI_013E3CCE,4,1361.49,2024-11-19,2023-07-01,NOVO,RJ,42,1,284.0
CLI_013FA472,1,130.29,2024-05-30,2024-05-30,NOVO,RJ,215,0,
CLI_01407C90,4,601.27,2024-12-07,2023-11-03,ANTIGO,MG,24,1,183.0
CLI_0149854D,2,240.14,2023-11-22,2023-11-22,NOVO,SP,405,1,0.0
CLI_014C318D,1,213.64,2023-12-18,2023-12-18,NOVO,PR,379,0,
CLI_014C323A,1,129.7,2024-04-22,2024-04-22,NOVO,RJ,253,0,
CLI_014EFE39,1,121.97,2024-10-13,2024-10-13,NOVO,SP,79,0,
CLI_014FF91C,1,224.73,2023-12-26,2023-12-26,NOVO,SP,371,0,
CLI_015013A8,1,218.52,2023-11-23,2023-11-23,NOVO,BA,404,0,
CLI_01521F48,1,173.61,2023-12-23,2023-12-23,NOVO,BA,374,0,
CLI_015293E5,2,350.66,2023-11-17,2023-08-17,ANTIGO,PR,410,1,92.0
CLI_01547C4C,1,191.36,2023-10-31,2023-10-31,NOVO,SC,427,0,
CLI_01562DDA,1,129.46,2023-11-21,2023-11-21,ANTIGO,RJ,406,0,
CLI_0157C2F4,1,134.66,2024-01-29,2024-01-29,NOVO,SC,337,0,
CLI_0158AD62,1,119.18,2023-09-19,2023-09-19,NOVO,PA,469,0,
CLI_015933FA,1,174.93,2024-06-14,2024-06-14,ANTIGO,RJ,200,0,
CLI_01596529,7,3073.8,2024-11-11,2023-10-05,ANTIGO,RJ,50,1,36.0
CLI_015C31A3,1,212.94,2023-12-27,2023-12-27,NOVO,GO,370,0,
CLI_015C9E7C,1,322.21,2024-07-10,2024-07-10,NOVO,SC,174,0,
CLI_015FD2AE,2,444.78000000000003,2024-02-15,2023-11-24,NOVO,RJ,320,1,83.0
CLI_01603B54,1,152.86,2023-08-17,2023-08-17,NOVO,SP,502,0,
CLI_0160931C,1,85.2,2024-11-08,2024-11-08,NOVO,SC,53,0,
CLI_0164D1D0,1,151.94,2023-07-31,2023-07-31,ANTIGO,SP,519,0,
CLI_016736B6,1,141.29,2024-12-17,2024-12-17,NOVO,SP,14,0,
CLI_01685569,1,76.97,2024-11-18,2024-11-18,NOVO,PR,43,0,
CLI_01692C3A,3,556.1600000000001,2024-11-07,2023-11-24,ANTIGO,MG,54,1,183.0
CLI_016A09BD,1,312.09,2023-09-23,2023-09-23,NOVO,PR,465,0,
CLI_016B01D8,1,120.96,2023-11-08,2023-11-08,ANTIGO,RJ,419,0,
CLI_016D4529,2,614.01,2024-08-14,2024-02-02,NOVO,SP,139,1,194.0
CLI_016D7543,1,99.92,2024-06-17,2024-06-17,ANTIGO,SP,197,0,
CLI_01703C82,2,346.38,2024-08-23,2024-04-08,ANTIGO,PE,130,1,137.0
CLI_017118A9,2,402.09000000000003,2024-11-25,2024-04-25,NOVO,ES,36,1,214.0
CLI_0171BD31,1,195.08,2024-11-30,2024-11-30,NOVO,SP,31,0,
CLI_0171CD8D,1,179.9,2023-11-06,2023-11-06,NOVO,SP,421,0,
CLI_01738404,1,276.17,2024-06-06,2024-06-06,NOVO,PR,208,0,
CLI_0174E3BC,1,235.9,2024-11-13,2024-11-13,NOVO,SP,48,0,
CLI_017967E4,1,75.02,2024-11-29,2024-11-29,NOVO,RJ,32,0,
CLI_017D12CA,2,691.9300000000001,2023-11-22,2023-08-05,NOVO,ES,405,1,109.0
CLI_017D3674,1,128.62,2024-03-15,2024-03-15,NOVO,SP,291,0,
CLI_017E00B3,1,137.88,2024-12-15,2024-12-15,NOVO,SP,16,0,
CLI_017F0E43,1,188.1,2023-07-22,2023-07-22,NOVO,RJ,528,0,
CLI_0181236F,2,331.2,2024-08-23,2024-05-13,NOVO,MT,130,1,102.0
CLI_018189A9,1,77.91,2024-08-23,2024-08-23,NOVO,RJ,130,0,
CLI_01818BAD,1,252.78,2024-06-07,2024-06-07,NOVO,RN,207,0,
CLI_0181F763,1,183.36,2024-07-22,2024-07-22,NOVO,SP,162,0,
CLI_0184A05B,1,271.49,2023-08-17,2023-08-17,ANTIGO,SP,502,0,
CLI_0184B947,1,94.07,2023-11-15,2023-11-15,NOVO,PR,412,0,
CLI_01860DC3,2,554.69,2023-09-25,2023-09-15,ANTIGO,RJ,463,1,10.0
CLI_0188C2B9,2,265.34000000000003,2024-11-06,2023-10-19,NOVO,MG,55,1,384.0
CLI_0188EFFA,1,162.23,2023-08-17,2023-08-17,NOVO,SP,502,0,
CLI_01891544,2,318.61,2024-02-19,2023-09-10,NOVO,SP,316,1,162.0
CLI_018B21CF,1,64.63,2023-07-03,2023-07-03,NOVO,RJ,547,0,
CLI_018B620C,4,757.72,2024-06-21,2023-07-25,ANTIGO,MG,193,1,234.0
CLI_018BAEB2,1,112.6,2023-08-01,2023-08-01,NOVO,RJ,518,0,
CLI_018C08A0,1,265.9,2024-11-15,2024-11-15,NOVO,PE,46,0,
CLI_018C9498,1,682.35,2023-11-04,2023-11-04,NOVO,DF,423,0,
CLI_018EA875,3,476.11,2024-09-22,2023-11-24,ANTIGO,PR,100,1,168.0
CLI_018F14F4,2,250.01,2024-10-12,2023-10-04,ANTIGO,SP,80,1,374.0
CLI_018F1E3C,1,158.6,2023-10-13,2023-10-13,NOVO,RJ,445,0,
CLI_01900469,1,149.9,2024-01-02,2024-01-02,NOVO,SP,364,0,
CLI_0192CCAE,1,113.95,2023-09-23,2023-09-23,ANTIGO,MG,465,0,
CLI_0192F71C,1,129.96,2024-06-08,2024-06-08,NOVO,RJ,206,0,
CLI_01966DD7,2,211.32,2024-08-25,2024-07-17,NOVO,RJ,128,1,39.0
CLI_0196882C,1,170.76,2024-07-15,2024-07-15,NOVO,GO,169,0,
CLI_019724A1,1,237.98,2024-06-13,2024-06-13,NOVO,SP,201,0,
CLI_0197359F,2,424.54,2024-03-25,2023-08-21,ANTIGO,PA,281,1,217.0
CLI_01990C35,1,416.09,2024-12-20,2024-12-20,NOVO,PB,11,0,
CLI_019B95B9,1,69.93,2023-08-21,2023-08-21,NOVO,RS,498,0,
CLI_019CA9AF,2,148.04000000000002,2024-03-25,2023-07-25,NOVO,MG,281,1,244.0
CLI_019CF75F,1,150.01,2024-02-23,2024-02-23,NOVO,SP,312,0,
CLI_019DA7A3,1,76.35,2024-10-17,2024-10-17,NOVO,SP,75,0,
CLI_019E181B,1,384.86,2024-10-13,2024-10-13,NOVO,RJ,79,0,
CLI_01A00D8C,1,114.08,2023-11-21,2023-11-21,ANTIGO,RS,406,0,
CLI_01A079EC,2,541.5799999999999,2023-12-28,2023-08-29,NOVO,DF,369,1,121.0
CLI_01A2C3C4,2,352.03999999999996,2024-11-18,2024-11-07,NOVO,RJ,43,1,11.0
CLI_01A30CA1,2,183.24,2024-11-28,2024-09-19,NOVO,MG,33,1,70.0
CLI_01A33354,2,583.39,2023-11-27,2023-10-05,ANTIGO,MT,400,1,53.0
CLI_01A4C394,2,538.0,2024-02-06,2023-11-26,ANTIGO,SP,329,1,72.0
CLI_01A64045,1,135.82,2023-11-24,2023-11-24,NOVO,SP,403,0,
CLI_01A87AD4,1,88.93,2024-04-25,2024-04-25,NOVO,RJ,250,0,
CLI_01ACF93B,1,154.34,2024-06-19,2024-06-19,NOVO,SP,195,0,
CLI_01AD9D98,1,108.91,2023-10-16,2023-10-16,ANTIGO,SP,442,0,
CLI_01AEC183,1,130.84,2024-10-10,2024-10-10,NOVO,PE,82,0,
CLI_01AF69F8,1,252.62,2024-04-23,2024-04-23,NOVO,RJ,252,0,
CLI_01AF7714,3,821.49,2024-05-24,2023-10-04,ANTIGO,SP,221,1,52.0
CLI_01B23B06,1,593.76,2024-02-29,2024-02-29,NOVO,SP,306,0,
CLI_01B3F0D9,1,154.9,2024-08-25,2024-08-25,NOVO,SC,128,0,
CLI_01B43630,1,81.59,2023-12-19,2023-12-19,ANTIGO,RJ,378,0,
CLI_01B49050,1,143.61,2023-11-04,2023-11-04,NOVO,MG,423,0,
CLI_01B671E8,1,136.92,2024-11-05,2024-11-05,NOVO,SP,56,0,
